##
TAG_CHARSET=@€éèç
##
CELERGO_VALEURS_MAPPER
=SQL IFEXIST=CELERGO_VALEURS_MAPPER=
DROP TABLE CELERGO_VALEURS_MAPPER
##
CELERGO_VALEURS_MAPPER
==
CREATE TABLE CELERGO_VALEURS_MAPPER ( CELERGO_VALUE VARCHAR2(50), ICP_VALUE VARCHAR2(50), TABLE_NAME VARCHAR2(50) , NUMPAC VARCHAR2(50))
##
CELERGO_VALEURS_MAPPER (CELERGO_VALUE, ICP_VALUE, TABLE_NAME, NUMPAC)
'M','M.','APPEL','*'
'M.','M.','APPEL','*'
'Madame','Mme.','APPEL','*'
'Mademoiselle','Mlle','APPEL','*'
'Miss','Mlle','APPEL','*'
'Mister','M.','APPEL','*'
'Mlle','Mlle','APPEL','*'
'Mme','Mme.','APPEL','*'
'Mme.','Mme.','APPEL','*'
'Monsieur','M.','APPEL','*'
'Mr.','M.','APPEL','*'
'Mrs.','Mme.','APPEL','*'
'Autre rupture motif éco (L321-2)','RO','MODEP','*'
'Cession (art L1224-1 ex L122-12)','CN','MODEP','*'
'Chomage total sans rupture Ctt','CT','MODEP','*'
'Death','Décès','MODEP','*'
'Demission','DM','MODEP','*'
'Décès','RD','MODEP','*'
'Démission','DM','MODEP','*'
'Démission clause de cession','DC','MODEP','*'
'Départ négocié (difficulté eco.)','DN','MODEP','*'
'Départ retraite init.employeur','DR','MODEP','*'
'Départ retraite init.salarié','DS','MODEP','*'
'Fin CDD 18-36 mois Obj.défini','FO','MODEP','*'
'Fin de CDD','FD','MODEP','*'
'Fin de CDD(suite à refus de CDI)','FE','MODEP','*'
'Fin de contrat d''apprentissage','FA','MODEP','*'
'Fin de mandat','FN','MODEP','*'
'Fin de mission saisonnier','FM','MODEP','*'
'Fin période d''essai employeur','EE','MODEP','*'
'Fin période d''essai salarié','ES','MODEP','*'
'Hors MPE - Mut. ss IC-CP-CET-PRX','MC','MODEP','*'
'Hors MPE - Mut. ss IC-CP-RTT-CET','MA','MODEP','*'
'Hors MPE - Mut. ss IC-CP-RTT-PRX','MB','MODEP','*'
'Hors MPE - Mut.ss IC-RTT-CET-PRX','MD','MODEP','*'
'Hors MPE - Mutation sans IC-CET','M2','MODEP','*'
'Hors MPE - Mutation sans IC-CP','M0','MODEP','*'
'Hors MPE - Mutation sans IC-PRX','M3','MODEP','*'
'Hors MPE - Mutation sans IC-RTT','M1','MODEP','*'
'Hors MPE - Mutation ss IC-CP-CET','M5','MODEP','*'
'Hors MPE - Mutation ss IC-CP-PRX','M6','MODEP','*'
'Hors MPE - Mutation ss IC-CP-RTT','M4','MODEP','*'
'Hors MPE - Mutat°. ss IC-CET-PRX','M8','MODEP','*'
'Hors MPE - Mutat°. ss IC-RTT-CET','M7','MODEP','*'
'Hors MPE-Mut.ss IC-CP-RTT-CET-PR','ME','MODEP','*'
'Lic.inaptitude phys.orig. n.prof','LH','MODEP','*'
'Lic.inaptitude phys.orig. profes','LI','MODEP','*'
'Licenc. invalidité incapacité','LX','MODEP','*'
'Licenc. invalidité permanente','LX','MODEP','*'
'Licenciement aut.causes économiq','LE','MODEP','*'
'Licenciement autres motifs','LZ','MODEP','*'
'Licenciement faute grave','LW','MODEP','*'
'Licenciement faute lourde','LV','MODEP','*'
'Licenciement faute simple','LU','MODEP','*'
'Licenciement fermeture établiss.','LF','MODEP','*'
'Licenciement fin de chantier','LC','MODEP','*'
'Licenciement force majeure','LY','MODEP','*'
'Licenciement liquid. judiciaire','LL','MODEP','*'
'Licenciement pré-retraite FNE','LP','MODEP','*'
'Licenciement économique collect.','LK','MODEP','*'
'Mut. interne vers Etab.hors DSN','MZ','MODEP','*'
'Mutation interne groupe','MU','MODEP','*'
'Prise d''acte rupture fin contrat','RI','MODEP','*'
'Pré-retraite','DP','MODEP','*'
'Resignation','DM','MODEP','*'
'Retimenent - employee initiative','DS','MODEP','*'
'Retirement - employer initiative','DR','MODEP','*'
'Rupture CDD commun accord','RY','MODEP','*'
'Rupture CNE init. employeur','CE','MODEP','*'
'Rupture ant.CDD faute grave','RW','MODEP','*'
'Rupture ant.CDD faute lourde','RV','MODEP','*'
'Rupture ant.CDD init.employeur','RE','MODEP','*'
'Rupture ant.CDD init.salarié','RS','MODEP','*'
'Rupture autres motifs','RZ','MODEP','*'
'Rupture commun accord avec CSP','RF','MODEP','*'
'Rupture conv avec droit retraite','RR','MODEP','*'
'Rupture conv sans droit retraite','RC','MODEP','*'
'Rupture convent. collective','RJ','MODEP','*'
'Rupture pour force majeure','RH','MODEP','*'
'Résiliation judiciaire contrat','X1','MODEP','*'
'dismissal for serious misconduct','LW','MODEP','*'
'economic lay-offs','LE','MODEP','*'
'Afghanistan','E212','NATIO','*'
'Albania','E125','NATIO','*'
'Algeria','E352','NATIO','*'
'American Samoa','E506','NATIO','*'
'Andorra','E130','NATIO','*'
'Angola','E395','NATIO','*'
'Anguilla','E425','NATIO','*'
'Antigua And Barbuda','E441','NATIO','*'
'Argentina','E415','NATIO','*'
'Armenia','E252','NATIO','*'
'Australia','E501','NATIO','*'
'Austria','E110','NATIO','*'
'Azerbaijan','E253','NATIO','*'
'Bahamas','E436','NATIO','*'
'Bahrain','E249','NATIO','*'
'Bangladesh','E246','NATIO','*'
'Barbados','E434','NATIO','*'
'Belarus','E148','NATIO','*'
'Belgium','E131','NATIO','*'
'Belize','E429','NATIO','*'
'Benin','E327','NATIO','*'
'Bhutan','E214','NATIO','*'
'Bolivia','E418','NATIO','*'
'Bosnia And Herzegovina','E118','NATIO','*'
'Botswana','E347','NATIO','*'
'Brazil','E416','NATIO','*'
'British Indian Ocean Territory','E308','NATIO','*'
'British Virgin Islands','E133','NATIO','*'
'Brunei Darussalam','E225','NATIO','*'
'Bulgaria','E111','NATIO','*'
'Burkina Faso','E331','NATIO','*'
'Burundi','E321','NATIO','*'
'Cambodia','E234','NATIO','*'
'Cameroon','E322','NATIO','*'
'Canada','E401','NATIO','*'
'Cape Verde','E396','NATIO','*'
'Central African Republic','E323','NATIO','*'
'Chad','E344','NATIO','*'
'Chile','E417','NATIO','*'
'China','E216','NATIO','*'
'Colombia','E419','NATIO','*'
'Comoros','E397','NATIO','*'
'Congo, The Democratic Republic Of The','E312','NATIO','*'
'Costa Rica','E406','NATIO','*'
'Croatia','E119','NATIO','*'
'Cuba','E407','NATIO','*'
'Curacao','E444','NATIO','*'
'Cyprus','E254','NATIO','*'
'Czech Republic','E116','NATIO','*'
'Denmark','E101','NATIO','*'
'Djibouti','E399','NATIO','*'
'Dominica','E438','NATIO','*'
'Dominican Republic','E408','NATIO','*'
'Ecuador','E420','NATIO','*'
'Egypt','E301','NATIO','*'
'El Salvador','E414','NATIO','*'
'Eritrea','E317','NATIO','*'
'Estonia','E106','NATIO','*'
'Ethiopia','E315','NATIO','*'
'Falkland Islands (Malvinas)','E427','NATIO','*'
'Fiji','E508','NATIO','*'
'Finland','E105','NATIO','*'
'France','F100','NATIO','*'
'French Guiana','F100','NATIO','*'
'French Polynesia','F100','NATIO','*'
'French Southern Territories','F100','NATIO','*'
'Gabon','E328','NATIO','*'
'Gambia','E304','NATIO','*'
'Georgia','E255','NATIO','*'
'Germany','E109','NATIO','*'
'Ghana','E329','NATIO','*'
'Gibraltar','E133','NATIO','*'
'Greece','E126','NATIO','*'
'Greenland','E430','NATIO','*'
'Grenada','E435','NATIO','*'
'Guadeloupe','F100','NATIO','*'
'Guam','E505','NATIO','*'
'Guatemala','E409','NATIO','*'
'Guernsey','E132','NATIO','*'
'Guinea','E314','NATIO','*'
'Guinea-Bissau','E392','NATIO','*'
'Guyana','E428','NATIO','*'
'Haiti','E410','NATIO','*'
'Holy See (Vatican City State)','E129','NATIO','*'
'Honduras','E411','NATIO','*'
'Hong Kong','E216','NATIO','*'
'Hungary','E112','NATIO','*'
'Iceland','E102','NATIO','*'
'India','E223','NATIO','*'
'Indonesia','E231','NATIO','*'
'Iran, Islamic Republic Of','E204','NATIO','*'
'Iraq','E203','NATIO','*'
'Ireland','E136','NATIO','*'
'Israel','E207','NATIO','*'
'Italy','E127','NATIO','*'
'Ivory Coast','E326','NATIO','*'
'Jamaica','E426','NATIO','*'
'Japan','E217','NATIO','*'
'Jersey','E132','NATIO','*'
'Jordan','E222','NATIO','*'
'Kazakhstan','E256','NATIO','*'
'Kenya','E332','NATIO','*'
'Kiribati','E513','NATIO','*'
'Kuwait','E240','NATIO','*'
'Kyrgyzstan','E257','NATIO','*'
'Lao People''S Democratic Republic','E241','NATIO','*'
'Latvia','E107','NATIO','*'
'Lebanon','E205','NATIO','*'
'Lesotho','E348','NATIO','*'
'Liberia','E302','NATIO','*'
'Libya','E316','NATIO','*'
'Liechtenstein','E113','NATIO','*'
'Lithuania','E108','NATIO','*'
'Luxembourg','E137','NATIO','*'
'Macau','E232','NATIO','*'
'Macedonia','E156','NATIO','*'
'Madagascar','E333','NATIO','*'
'Malawi','E334','NATIO','*'
'Malaysia','E227','NATIO','*'
'Maldives','E229','NATIO','*'
'Mali','E335','NATIO','*'
'Malta','E144','NATIO','*'
'Marshall Islands','E515','NATIO','*'
'Martinique','F100','NATIO','*'
'Mauritania','E336','NATIO','*'
'Mauritius','E390','NATIO','*'
'Mayotte','F100','NATIO','*'
'Mexico','E405','NATIO','*'
'Micronesia, Federated States Of','E516','NATIO','*'
'Moldova, Republic Of','E151','NATIO','*'
'Monaco','E138','NATIO','*'
'Mongolia','E242','NATIO','*'
'Montenegro','E120','NATIO','*'
'Morocco','E350','NATIO','*'
'Mozambique','E393','NATIO','*'
'Myanmar','E224','NATIO','*'
'Namibia','E311','NATIO','*'
'Nauru','E507','NATIO','*'
'Nepal','E215','NATIO','*'
'Netherlands','E135','NATIO','*'
'Netherlands Antilles','E135','NATIO','*'
'New Caledonia','F100','NATIO','*'
'New Zealand','E502','NATIO','*'
'Nicaragua','E412','NATIO','*'
'Niger','E337','NATIO','*'
'Nigeria','E338','NATIO','*'
'North Korea','E238','NATIO','*'
'Norway','E103','NATIO','*'
'Oman','E250','NATIO','*'
'Pakistan','E213','NATIO','*'
'Palau','E517','NATIO','*'
'Palestinian Territory, Occupied','E261','NATIO','*'
'Panama','E413','NATIO','*'
'Papua New Guinea','E510','NATIO','*'
'Paraguay','E421','NATIO','*'
'Peru','E422','NATIO','*'
'Philippines','E220','NATIO','*'
'Pitcairn','E503','NATIO','*'
'Poland','E122','NATIO','*'
'Portugal','E139','NATIO','*'
'Qatar','E248','NATIO','*'
'Republic of Kosovo','E157','NATIO','*'
'Reunion','F100','NATIO','*'
'Romania','E114','NATIO','*'
'Russia','E123','NATIO','*'
'Rwanda','E340','NATIO','*'
'Saint Helena, Ascension And Tristan Da Cunha','E306','NATIO','*'
'Saint Lucia','E439','NATIO','*'
'Saint Martin (French Part)','F100','NATIO','*'
'Saint Pierre And Miquelon','F100','NATIO','*'
'Saint Vincent And The Grenadines','E440','NATIO','*'
'Samoa','E506','NATIO','*'
'San Marino','E128','NATIO','*'
'Sao Tome And Principe','E394','NATIO','*'
'Saudi Arabia','E201','NATIO','*'
'Senegal','E341','NATIO','*'
'Serbia','E121','NATIO','*'
'Seychelles','E398','NATIO','*'
'Sierra Leone','E342','NATIO','*'
'Singapore','E226','NATIO','*'
